china	9.113787347370063685e-01 -2.266003558195752166e-01
russia	-2.739089944618864365e+02 2.522117993371352611e+02
moscow	3.116786061844774167e+02 2.148128614735119868e+02
iraq	1.446467909580849209e+02 -3.636542554243190466e+02
afghanistan	3.715954685325497167e+02 -1.149411227080222773e+02
beijing	2.879738682981900766e+01 3.981382309615739246e+02
baghdad	-1.879268850106828381e+02 -3.254473661196290095e+02
kabul	-3.957937517670987404e+02 -6.089354716443121163e+01
