x cool
-0.5 3.2974425414
-0.491836734694 3.21809390507
-0.483673469388 3.14146537742
-0.475510204082 3.06742826026
-0.467346938776 2.99586175847
-0.459183673469 2.92665238342
-0.451020408163 2.85969340966
-0.442857142857 2.79488437931
-0.434693877551 2.73213064944
-0.426530612245 2.67134297812
-0.418367346939 2.61243714527
-0.410204081633 2.55533360505
-0.402040816327 2.49995716672
-0.39387755102 2.44623670123
-0.385714285714 2.39410487131
-0.377551020408 2.34349788271
-0.369387755102 2.29435525479
-0.361224489796 2.24661960871
-0.35306122449 2.20023647168
-0.344897959184 2.15515409577
-0.336734693878 2.11132329018
-0.328571428571 2.06869726568
-0.320408163265 2.02723149037
-0.312244897959 1.98688355556
-0.304081632653 1.9476130512
-0.295918367347 1.90938144996
-0.287755102041 1.87215199926
-0.279591836735 1.83588962063
-0.271428571429 1.80056081588
-0.263265306122 1.76613357949
-0.255102040816 1.73257731671
-0.24693877551 1.69986276711
-0.238775510204 1.66796193289
-0.230612244898 1.63684801188
-0.222448979592 1.60649533472
-0.214285714286 1.57687930596
-0.20612244898 1.54797634875
-0.197959183673 1.51976385298
-0.189795918367 1.49222012653
-0.181632653061 1.46532434938
-0.173469387755 1.43905653057
-0.165306122449 1.41339746752
-0.157142857143 1.38832870788
-0.148979591837 1.36383251343
-0.140816326531 1.33989182615
-0.132653061224 1.31649023615
-0.124489795918 1.29361195139
-0.116326530612 1.27124176911
-0.108163265306 1.24936504882
-0.1 1.22796768675
